x, y, yaw, vel, accel, jerk, curvature, time, wheels
2.933022,2.037798,0.791076,0.661420,0.671554,0.000000,2.116951,8.230498,0.340776,0.982064
2.962601,2.071507,0.911365,0.730665,0.715631,0.000000,1.436836,8.330498,0.490250,0.971079
2.987484,2.108044,1.034652,0.693874,-0.837746,0.000000,0.950694,8.430498,0.542812,0.844937
3.007688,2.147294,1.155155,0.607514,-0.904625,0.000000,0.634228,8.530498,0.519280,0.695748
3.023353,2.189090,1.267045,0.516452,-0.935383,0.000000,0.426811,8.630498,0.465974,0.566930
3.034761,2.233204,1.365471,0.422284,-0.966365,0.000000,0.275064,8.730498,0.395685,0.448884
3.042343,2.279345,1.447008,0.325648,-0.966365,0.000000,0.161752,8.830498,0.313585,0.337710
3.046695,2.327158,1.509443,0.225986,-1.000000,0.000000,0.077760,8.930498,0.221961,0.230010
3.048592,2.376213,1.551118,0.125986,-1.000000,0.000000,0.024168,9.030498,0.125288,0.126683

